Id,LotFrontage,LotArea,Street,Alley,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageArea,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
14,91,10652,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,306,Gd,TA,PConc,Gd,TA,1494,GasA,1494,0,0,1494,2,3,1,Gd,7,Typ,1,Attchd,840,TA,Y,0,NA,NA,NA,0,8,2007,New,Partial,279500
15,NA,10920,Pave,NA,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,212,TA,TA,CBlock,TA,TA,1253,GasA,1253,0,0,1253,1,2,1,TA,5,Typ,1,Attchd,352,TA,Y,0,NA,GdWo,NA,0,5,2008,WD,Normal,157000
16,51,6120,Pave,NA,AllPub,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,0,TA,TA,BrkTil,TA,TA,832,GasA,854,0,0,854,1,2,1,TA,5,Typ,0,Detchd,576,TA,Y,0,NA,GdPrv,NA,0,7,2007,WD,Normal,132000
17,NA,11241,Pave,NA,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,180,TA,TA,CBlock,TA,TA,1004,GasA,1004,0,0,1004,1,2,1,TA,5,Typ,1,Attchd,480,TA,Y,0,NA,NA,Shed,700,3,2010,WD,Normal,149000
18,72,10791,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,0,TA,TA,Slab,NA,NA,0,GasA,1296,0,0,1296,2,2,2,TA,6,Typ,0,CarPort,516,TA,Y,0,NA,NA,Shed,500,10,2006,WD,Normal,90000
19,66,13695,Pave,NA,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,0,TA,TA,PConc,TA,TA,1114,GasA,1114,0,0,1114,1,3,1,Gd,6,Typ,0,Detchd,576,TA,Y,0,NA,NA,NA,0,6,2008,WD,Normal,159000
20,70,7560,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,0,TA,TA,CBlock,TA,TA,1029,GasA,1339,0,0,1339,1,3,1,TA,6,Min1,0,Attchd,294,TA,Y,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,139000
21,101,14215,Pave,NA,AllPub,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,380,Gd,TA,PConc,Ex,TA,1158,GasA,1158,1218,0,2376,3,4,1,Gd,9,Typ,1,BuiltIn,853,TA,Y,0,NA,NA,NA,0,11,2006,New,Partial,325300
22,57,7449,Pave,Grvl,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,0,TA,TA,PConc,TA,TA,637,GasA,1108,0,0,1108,1,3,1,Gd,6,Typ,1,Attchd,280,TA,N,0,NA,GdPrv,NA,0,6,2007,WD,Normal,139400
23,75,9742,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,281,Gd,TA,PConc,Gd,TA,1777,GasA,1795,0,0,1795,2,3,1,Gd,7,Typ,1,Attchd,534,TA,Y,0,NA,NA,NA,0,9,2008,WD,Normal,230000
24,44,4224,Pave,NA,AllPub,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,0,TA,TA,PConc,Gd,TA,1040,GasA,1060,0,0,1060,1,3,1,TA,6,Typ,1,Attchd,572,TA,Y,0,NA,NA,NA,0,6,2007,WD,Normal,129900
25,NA,8246,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,0,TA,Gd,CBlock,TA,TA,1060,GasA,1060,0,0,1060,1,3,1,Gd,6,Typ,1,Attchd,270,TA,Y,0,NA,MnPrv,NA,0,5,2010,WD,Normal,154000
26,110,14230,Pave,NA,AllPub,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,640,Gd,TA,PConc,Gd,TA,1566,GasA,1600,0,0,1600,2,3,1,Gd,7,Typ,1,Attchd,890,TA,Y,0,NA,NA,NA,0,7,2009,WD,Normal,256300
27,60,7200,Pave,NA,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,900,GasA,900,0,0,900,1,3,1,Gd,5,Typ,0,Detchd,576,TA,Y,0,NA,NA,NA,0,5,2010,WD,Normal,134800
28,98,11478,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,200,Gd,TA,PConc,Ex,TA,1704,GasA,1704,0,0,1704,2,3,1,Gd,7,Typ,1,Attchd,772,TA,Y,0,NA,NA,NA,0,5,2010,WD,Normal,306000
29,47,16321,Pave,NA,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,0,TA,TA,CBlock,TA,TA,1484,GasA,1600,0,0,1600,1,2,1,TA,6,Typ,2,Attchd,319,TA,Y,0,NA,NA,NA,0,12,2006,WD,Normal,207500
30,60,6324,Pave,NA,AllPub,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,0,TA,TA,BrkTil,TA,TA,520,GasA,520,0,0,520,1,1,1,Fa,4,Typ,0,Detchd,240,TA,Y,0,NA,NA,NA,0,5,2008,WD,Normal,68500
31,50,8500,Pave,Pave,AllPub,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,0,TA,Fa,BrkTil,TA,TA,649,GasA,649,668,0,1317,1,3,1,TA,6,Typ,0,Detchd,250,Fa,N,0,NA,MnPrv,NA,0,7,2008,WD,Normal,40000
32,NA,8544,Pave,NA,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,1228,GasA,1228,0,0,1228,1,3,1,Gd,6,Typ,0,Attchd,271,TA,Y,0,NA,MnPrv,NA,0,6,2008,WD,Normal,149350
33,85,11049,Pave,NA,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Ex,TA,1234,GasA,1234,0,0,1234,2,3,1,Gd,7,Typ,0,Attchd,484,TA,Y,0,NA,NA,NA,0,1,2008,WD,Normal,179900
34,70,10552,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,0,TA,TA,CBlock,TA,TA,1398,GasA,1700,0,0,1700,1,4,1,Gd,6,Typ,1,Attchd,447,TA,Y,0,NA,NA,NA,0,4,2010,WD,Normal,165500
35,60,7313,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,246,Ex,TA,PConc,Ex,TA,1561,GasA,1561,0,0,1561,2,2,1,Ex,6,Typ,1,Attchd,556,TA,Y,0,NA,NA,NA,0,8,2007,WD,Normal,277500
36,108,13418,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,132,Gd,TA,PConc,Ex,TA,1117,GasA,1132,1320,0,2452,3,4,1,Gd,9,Typ,1,BuiltIn,691,TA,Y,0,NA,NA,NA,0,9,2006,WD,Normal,309000
37,112,10859,Pave,NA,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,0,TA,TA,PConc,Gd,TA,1097,GasA,1097,0,0,1097,1,3,1,TA,6,Typ,0,Attchd,672,TA,Y,0,NA,NA,NA,0,6,2009,WD,Normal,145000
38,74,8532,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,Hip,CompShg,Wd Sdng,650,TA,TA,CBlock,TA,TA,1297,GasA,1297,0,0,1297,1,3,1,TA,5,Typ,1,Attchd,498,TA,Y,0,NA,NA,NA,0,10,2009,WD,Normal,153000
39,68,7922,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,0,TA,Gd,CBlock,TA,TA,1057,GasA,1057,0,0,1057,1,3,1,Gd,5,Typ,0,Detchd,246,TA,Y,0,NA,NA,NA,0,1,2010,WD,Abnorml,109000
40,65,6040,Pave,NA,AllPub,Inside,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,0,TA,TA,PConc,NA,NA,0,GasA,1152,0,0,1152,2,2,2,Fa,6,Typ,0,NA,0,NA,N,0,NA,NA,NA,0,6,2008,WD,AdjLand,82000
41,84,8658,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,101,TA,TA,CBlock,TA,TA,1088,GasA,1324,0,0,1324,2,3,1,TA,6,Typ,1,Attchd,440,TA,Y,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,160000
42,115,16905,Pave,NA,AllPub,Inside,Timber,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,0,TA,Gd,CBlock,TA,TA,1350,GasA,1328,0,0,1328,1,2,1,TA,5,Typ,2,Attchd,308,TA,P,0,NA,NA,NA,0,7,2007,WD,Normal,170000
43,NA,9180,Pave,NA,AllPub,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,0,TA,TA,CBlock,Gd,TA,840,GasA,884,0,0,884,1,2,1,Gd,5,Typ,0,Attchd,504,Gd,Y,0,NA,MnPrv,NA,0,12,2007,WD,Normal,144000
44,NA,9200,Pave,NA,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,Hip,CompShg,VinylSd,0,TA,TA,CBlock,Gd,TA,938,GasA,938,0,0,938,1,3,1,TA,5,Typ,0,Detchd,308,TA,Y,0,NA,MnPrv,NA,0,7,2008,WD,Normal,130250
45,70,7945,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,0,TA,TA,CBlock,TA,TA,1150,GasA,1150,0,0,1150,1,3,1,TA,6,Typ,0,Attchd,300,TA,Y,0,NA,NA,NA,0,5,2006,WD,Normal,141000
46,61,7658,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,412,Ex,TA,PConc,Ex,TA,1752,GasA,1752,0,0,1752,2,2,1,Ex,6,Typ,1,Attchd,576,TA,Y,0,NA,NA,NA,0,2,2010,WD,Normal,319900
47,48,12822,Pave,NA,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Ex,TA,1434,GasA,1518,631,0,2149,1,1,1,Gd,6,Typ,1,Attchd,670,TA,Y,0,NA,NA,NA,0,8,2009,WD,Abnorml,239686
48,84,11096,Pave,NA,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,1656,GasA,1656,0,0,1656,2,3,1,Gd,7,Typ,0,Attchd,826,TA,Y,0,NA,NA,NA,0,7,2007,WD,Normal,249700
49,33,4456,Pave,NA,AllPub,Inside,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,Gable,CompShg,MetalSd,0,TA,TA,BrkTil,TA,TA,736,GasA,736,716,0,1452,2,2,3,TA,8,Typ,0,NA,0,NA,N,0,NA,NA,NA,0,6,2009,New,Partial,113000
50,66,7742,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,955,GasA,955,0,0,955,1,3,1,TA,6,Typ,0,Attchd,386,TA,Y,0,NA,MnPrv,NA,0,1,2007,WD,Normal,127000
51,NA,13869,Pave,NA,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,Gable,CompShg,VinylSd,0,TA,TA,PConc,Gd,TA,794,GasA,794,676,0,1470,2,3,1,TA,6,Typ,0,Attchd,388,TA,Y,0,NA,NA,NA,0,7,2007,WD,Normal,177000
52,52,6240,Pave,NA,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,Gable,CompShg,Wd Sdng,0,TA,TA,PConc,TA,TA,816,GasA,816,0,360,1176,1,3,1,TA,6,Typ,1,Detchd,528,TA,Y,0,NA,MnPrv,Shed,400,9,2006,WD,Normal,114500
53,110,8472,Grvl,NA,AllPub,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,Gable,CompShg,Wd Sdng,0,Fa,TA,CBlock,Gd,TA,816,GasA,816,0,0,816,1,2,1,TA,5,Typ,0,CarPort,516,TA,Y,0,NA,NA,NA,0,5,2010,WD,Normal,110000
54,68,50271,Pave,NA,AllPub,Inside,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,Gable,WdShngl,WdShing,0,Gd,TA,CBlock,Ex,TA,1842,GasA,1842,0,0,1842,0,0,1,Gd,5,Typ,1,Attchd,894,TA,Y,0,NA,NA,NA,0,11,2006,WD,Normal,385000
55,60,7134,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,Gable,CompShg,MetalSd,0,TA,TA,CBlock,TA,TA,384,GasA,1360,0,0,1360,1,3,1,TA,6,Min1,1,Detchd,572,TA,Y,0,NA,MnPrv,NA,0,2,2007,WD,Normal,130000
56,100,10175,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,Gable,CompShg,HdBoard,272,TA,TA,CBlock,TA,TA,1425,GasA,1425,0,0,1425,2,3,1,TA,7,Typ,1,Attchd,576,TA,Y,0,NA,NA,NA,0,7,2008,WD,Normal,180500
57,24,2645,Pave,Pave,AllPub,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,456,Gd,TA,PConc,Gd,TA,970,GasA,983,756,0,1739,2,3,1,Gd,7,Typ,0,Attchd,480,TA,Y,0,NA,NA,NA,0,8,2009,WD,Abnorml,172500
58,89,11645,Pave,NA,AllPub,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,0,Gd,TA,PConc,Gd,TA,860,GasA,860,860,0,1720,2,3,1,Gd,7,Typ,0,Attchd,565,TA,Y,0,NA,NA,NA,0,8,2006,WD,Normal,196500
59,66,13682,Pave,NA,AllPub,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,Hip,CompShg,VinylSd,1031,Ex,TA,PConc,Ex,TA,1410,GasA,1426,1519,0,2945,3,3,1,Gd,10,Typ,1,BuiltIn,641,TA,Y,0,NA,NA,NA,0,10,2006,New,Partial,438780
60,60,7200,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,780,GasA,780,0,0,780,1,2,1,TA,4,Typ,0,Detchd,352,TA,Y,0,NA,MnPrv,NA,0,1,2008,WD,Normal,124900
61,63,13072,Pave,NA,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,Gable,CompShg,VinylSd,0,TA,TA,PConc,Gd,TA,1158,GasA,1158,0,0,1158,1,3,1,Gd,5,Typ,0,Detchd,576,TA,Y,0,NA,NA,NA,0,5,2006,New,Partial,158000
62,60,7200,Pave,NA,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,Gable,CompShg,MetalSd,0,TA,TA,BrkTil,TA,Fa,530,GasA,581,530,0,1111,1,3,1,Fa,6,Typ,0,Detchd,288,TA,N,0,NA,NA,NA,0,3,2007,WD,Normal,101000
63,44,6442,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,Gable,CompShg,VinylSd,178,Gd,TA,PConc,Gd,Gd,1370,GasA,1370,0,0,1370,2,2,1,Gd,6,Typ,1,Attchd,484,TA,Y,0,NA,NA,NA,0,10,2007,WD,Normal,202500
64,50,10300,Pave,NA,AllPub,Inside,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,Gable,CompShg,Stucco,0,TA,TA,BrkTil,TA,TA,576,GasA,902,808,0,1710,2,3,1,TA,9,Typ,0,Detchd,480,TA,Y,0,NA,GdPrv,NA,0,4,2010,WD,Normal,140000
65,NA,9375,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,Gable,CompShg,VinylSd,573,TA,TA,PConc,Gd,TA,1057,GasA,1057,977,0,2034,2,3,1,Gd,8,Typ,0,Attchd,645,TA,Y,0,NA,GdPrv,NA,0,2,2009,WD,Normal,219500
66,76,9591,Pave,NA,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,344,Gd,TA,PConc,Ex,TA,1143,GasA,1143,1330,0,2473,2,4,1,Gd,9,Typ,1,BuiltIn,852,TA,Y,0,NA,NA,NA,0,10,2007,WD,Normal,317000
67,NA,19900,Pave,NA,AllPub,Inside,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,Gable,CompShg,Plywood,287,TA,TA,CBlock,Gd,TA,1947,GasA,2207,0,0,2207,2,3,1,TA,7,Min1,1,Attchd,576,TA,Y,0,NA,NA,NA,0,7,2010,WD,Normal,180000
68,72,10665,Pave,NA,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,Gable,CompShg,VinylSd,167,Gd,TA,PConc,Gd,TA,1453,GasA,1479,0,0,1479,2,3,1,Gd,7,Typ,0,Attchd,558,TA,Y,0,NA,NA,NA,0,6,2007,WD,Normal,226000
69,47,4608,Pave,NA,AllPub,Corner,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,Gable,CompShg,MetalSd,0,TA,Gd,CBlock,TA,TA,747,GasA,747,0,0,747,1,2,1,TA,4,Typ,0,Attchd,220,TA,Y,0,NA,NA,NA,0,6,2010,WD,Normal,80000
70,81,15593,Pave,NA,AllPub,Corner,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,Gable,CompShg,BrkFace,0,Gd,TA,CBlock,TA,TA,1304,GasW,1304,983,0,2287,2,3,1,TA,7,Typ,1,Attchd,667,TA,Y,0,NA,NA,NA,0,7,2006,WD,Normal,225000
71,95,13651,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,Gable,CompShg,Plywood,1115,TA,Gd,CBlock,Gd,TA,2223,GasA,2223,0,0,2223,2,3,1,TA,8,Typ,2,Attchd,516,TA,Y,0,NA,NA,NA,0,2,2007,WD,Normal,244000
72,69,7599,Pave,NA,AllPub,Corner,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,Gable,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,845,GasA,845,0,0,845,1,2,1,TA,4,Typ,0,Detchd,360,TA,Y,0,NA,NA,NA,0,6,2007,WD,Normal,129500
73,74,10141,Pave,NA,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,40,TA,TA,PConc,Gd,TA,832,GasA,885,833,0,1718,2,3,1,TA,7,Typ,1,Attchd,427,TA,Y,0,NA,NA,NA,0,12,2009,WD,Normal,185000
74,85,10200,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,Gable,CompShg,Wd Sdng,104,TA,TA,CBlock,TA,TA,1086,GasA,1086,0,0,1086,1,3,1,TA,6,Typ,0,Attchd,490,TA,Y,0,NA,GdWo,NA,0,5,2010,WD,Normal,144900
75,60,5790,Pave,NA,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,Gambrel,CompShg,VinylSd,0,Gd,Gd,CBlock,Fa,TA,840,GasA,840,765,0,1605,2,3,2,TA,8,Typ,0,Detchd,379,TA,Y,0,NA,NA,NA,0,5,2010,WD,Normal,107400
76,21,1596,Pave,NA,AllPub,Inside,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,Gable,CompShg,CemntBd,0,TA,TA,CBlock,Gd,TA,462,GasA,526,462,0,988,1,2,1,TA,5,Typ,0,BuiltIn,297,TA,Y,0,NA,GdWo,NA,0,11,2009,WD,Normal,91000
77,NA,8475,Pave,NA,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,Gable,CompShg,VinylSd,0,TA,TA,CBlock,TA,TA,952,GasA,952,0,0,952,1,2,1,TA,4,Typ,0,Detchd,283,TA,Y,0,NA,NA,NA,0,4,2008,WD,Normal,135750
78,50,8635,Pave,NA,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,Gable,CompShg,Wd Sdng,0,TA,TA,CBlock,TA,TA,672,GasA,1072,213,0,1285,1,2,1,TA,6,Min1,0,Detchd,240,TA,Y,0,NA,MnPrv,NA,0,1,2008,WD,Normal,127000
79,72,10778,Pave,NA,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,Hip,CompShg,HdBoard,0,TA,TA,CBlock,TA,TA,1768,GasA,1768,0,0,1768,2,4,2,TA,8,Typ,0,NA,0,NA,Y,0,NA,NA,NA,0,4,2010,WD,Normal,136500
80,60,10440,Pave,Grvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,Gable,CompShg,Wd Sdng,0,TA,TA,PConc,TA,TA,440,GasA,682,548,0,1230,1,2,1,TA,5,Typ,0,Detchd,440,TA,Y,0,NA,MnPrv,NA,0,5,2009,WD,Normal,110000
81,100,13000,Pave,NA,AllPub,Corner,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,Gable,CompShg,VinylSd,576,TA,Gd,CBlock,Gd,TA,896,GasA,1182,960,0,2142,2,4,1,Gd,8,Typ,1,Attchd,509,TA,Y,0,NA,NA,NA,0,6,2009,WD,Normal,193500
